iteration,k=1,k=2,k=3,k=4,k=e
806,3575,3621,3541,3808,4484
807,3576,3625,3545,3810,4486
808,3583,3626,3550,3817,4493
809,3584,3630,3552,3819,4494
810,3584,3635,3552,3822,4501
811,3587,3636,3556,3825,4505
812,3587,3636,3557,3830,4512
813,3591,3638,3562,3833,4517
814,3592,3640,3562,3837,4519
815,3592,3640,3562,3841,4524
816,3594,3649,3566,3845,4525
817,3600,3658,3567,3847,4530
818,3605,3665,3569,3847,4533
819,3609,3668,3574,3852,4538
820,3610,3668,3576,3853,4539
821,3612,3671,3580,3859,4543
822,3616,3676,3580,3862,4548
823,3620,3681,3583,3871,4550
824,3628,3685,3588,3873,4553
825,3629,3691,3589,3877,4561
826,3636,3693,3590,3880,4562
827,3640,3696,3592,3885,4566
828,3642,3703,3594,3888,4569
829,3643,3704,3598,3889,4576
830,3648,3708,3606,3895,4581
831,3652,3709,3610,3899,4585
832,3657,3712,3614,3902,4588
833,3662,3716,3614,3902,4592
834,3668,3720,3618,3905,4597
835,3674,3723,3622,3911,4601
836,3675,3730,3625,3915,4610
837,3675,3733,3626,3924,4611
838,3679,3736,3632,3925,4612
839,3682,3738,3632,3929,4615
840,3684,3743,3634,3931,4617
841,3688,3748,3637,3934,4620
842,3696,3751,3641,3939,4626
843,3698,3752,3645,3942,4628
844,3700,3759,3651,3947,4636
845,3707,3768,3661,3949,4637
846,3712,3772,3661,3952,4643
847,3713,3777,3667,3957,4647
848,3721,3782,3670,3964,4654
849,3727,3783,3671,3975,4660
850,3731,3787,3672,3975,4664
851,3735,3795,3681,3983,4672
